"","magnitude","score"
"1",0,0
"2",0.7,-0.7
"3",0,0
"4",0.7,-0.7
"5",0.6,-0.1
"6",0.6,-0.6
"7",0.6,-0.6
"8",0.9,0.4
"9",0.7,-0.7
"10",0,0
"11",0.7,-0.7
"12",0,0
"13",0.7,-0.3
"14",0.4,-0.4
"15",0.1,-0.1
"16",0.1,-0.1
"17",0.2,0.2
"18",1.2,0.6
"19",0.4,0.4
"20",0.5,-0.5
"21",0.2,0.2
"22",0.2,0.2
"23",0.6,0.2
"24",0.1,-0.1
"25",0.8,-0.8
"26",0.1,0.1
"27",0.4,-0.4
"28",0,0
"29",0.7,-0.7
"30",0.6,-0.6
"31",0.8,0.8
"32",0.3,-0.1
"33",0.3,-0.3
"34",0,0
"35",0.3,-0.3
"36",0.3,0.3
"37",0.2,0
"38",0.1,-0.1
"39",0.2,0.2
"40",0.3,0
"41",0,0
"42",0.7,0.1
"43",0.3,0.3
"44",0.1,0
"45",0.6,-0.6
"46",0.1,0
"47",0.1,-0.1
"48",0.5,0.5
"49",0,0
"50",0.2,-0.2
