"","magnitude","score"
"1",0.8,-0.8
"2",0,0
"3",1,-0.2
"4",0,0
"5",0,0
"6",0.9,-0.2
"7",0.8,-0.8
"8",0.4,0.2
"9",0.4,-0.4
"10",0.2,0.1
"11",0.3,0.3
"12",0.4,0
"13",0.6,0.6
"14",0.4,-0.4
"15",0.7,-0.7
"16",0.8,-0.1
"17",0.2,-0.2
"18",0.4,0.4
"19",0.7,-0.7
"20",0.1,0.1
"21",0.7,-0.7
"22",0.2,-0.2
"23",0.8,-0.8
"24",0.3,0.3
"25",0.7,-0.7
"26",0,0
"27",0,0
"28",0.6,0.6
"29",0.5,0.5
"30",0.2,-0.2
"31",0,0
"32",0.8,-0.8
"33",0.7,-0.7
"34",0.5,-0.5
"35",0.4,0.4
"36",0.7,-0.7
"37",0.2,-0.2
"38",0.4,-0.4
"39",0.3,0.1
"40",0.3,-0.3
"41",0.8,-0.8
"42",0.5,-0.5
"43",0,0
"44",0.6,0.3
"45",0.1,-0.1
"46",0,0
"47",0.2,0
"48",0.2,-0.2
"49",0.4,-0.4
"50",1.1,0.3
