"","magnitude","score"
"1",0.3,-0.3
"2",0,0
"3",0.1,0.1
"4",0.8,-0.8
"5",0.5,0.5
"6",0.9,-0.9
"7",0,0
"8",0.1,-0.1
"9",0.1,-0.1
"10",0.4,0.4
"11",0.4,-0.4
"12",0,0
"13",0.5,-0.5
"14",0.6,0.6
"15",0.4,0.4
"16",0.2,0.2
"17",0.3,-0.3
"18",0.3,0
"19",0.1,-0.1
"20",0.7,-0.7
"21",0.6,-0.6
"22",0.1,-0.1
"23",1,0
"24",0.5,0.5
"25",0.7,-0.7
"26",0.2,0.2
"27",0.3,-0.3
"28",0.2,0.1
"29",0.2,-0.2
"30",0,0
"31",0.2,-0.2
"32",0,0
"33",0.5,-0.5
"34",0.6,0.3
"35",0.1,0.1
"36",0.2,0.2
"37",0.3,0.3
"38",0.3,-0.3
"39",0,0
"40",0.7,-0.7
"41",0.2,-0.1
"42",0.6,-0.6
"43",0.6,-0.3
"44",0,0
"45",0.1,0.1
"46",0.8,-0.8
"47",0.2,-0.2
"48",0.4,-0.4
"49",0.1,0.1
"50",0,0
