"","magnitude","score"
"1",0.7,0.7
"2",0.1,-0.1
"3",0.2,0.2
"4",0.8,-0.8
"5",0.2,-0.2
"6",0.6,0.3
"7",0.1,0
"8",0,0
"9",0.1,0
"10",0.2,-0.2
"11",0.2,-0.2
"12",0.3,0.3
"13",0,0
"14",0.3,0.3
"15",0.2,0.2
"16",0.7,-0.7
"17",0,0
"18",0.4,0.4
"19",0.1,-0.1
"20",0.1,0.1
"21",0.3,0.3
"22",0.1,0.1
"23",0.9,-0.1
"24",0,0
"25",0.3,-0.1
"26",0.5,0.5
"27",1,-0.5
"28",0.2,-0.2
"29",0.6,0.6
"30",0.3,0.3
"31",0.5,-0.2
"32",0.4,0.2
"33",0.1,0.1
"34",0,0
"35",0.6,0.6
"36",0,0
"37",0.5,0.1
"38",0,0
"39",0.7,0.7
"40",0,0
"41",0.1,0.1
"42",0.7,0.7
"43",0.5,-0.5
"44",0.4,0.4
"45",0.1,0
"46",0.6,0.3
"47",0,0
"48",0.5,-0.5
"49",0.4,0.4
"50",0.2,0.2
