"","magnitude","score"
"1",0.4,0.4
"2",0,0
"3",0.2,-0.2
"4",0.4,-0.4
"5",0,0
"6",0.2,-0.2
"7",0,0
"8",0,0
"9",0,0
"10",0.4,-0.1
"11",0,0
"12",0.3,-0.3
"13",0.4,-0.2
"14",0.6,-0.3
"15",0.6,-0.6
"16",0.1,-0.1
"17",0.7,-0.2
"18",0.2,-0.2
"19",0,0
"20",0.3,-0.3
"21",0,0
"22",0.1,0.1
"23",0.7,-0.3
"24",1,-0.3
"25",0,0
"26",1,-0.3
"27",0.3,0.3
"28",0,0
"29",0.2,-0.2
"30",0.2,-0.2
"31",0.8,-0.4
"32",0.8,-0.4
"33",0.5,0.5
"34",0.1,0
"35",0.2,-0.2
"36",0.2,-0.2
"37",0.2,0.1
"38",0,0
"39",0.3,0.3
"40",0,0
"41",0.1,-0.1
"42",0.1,0
"43",0.6,-0.6
"44",0,0
"45",0.1,0.1
"46",0.1,0.1
"47",0.2,0.2
"48",0,0
"49",0.6,0.2
"50",0,0
