ID,Title,magnitude,score,URL
1,#DeleteFacebook Movement Gains Steam After 50 Million Users Have Data Leaked,0.8,-0.8,https://www.thewrap.com/delete-facebook-twitter-cambridge-analytica/
2,Facebook's Stock Is Plummeting Amid the Company's Latest Crisis.,0,0,http://time.com/5205336/facebook-shares-fall/
3,U.S. Supreme Court allows Flint water contamination lawsuits,1,-0.2,https://www.reuters.com/article/us-usa-court-water/u-s-supreme-court-allows-flint-water-contamination-lawsuits-idUSKBN1GV1RB?utm_campaign=trueAnthem:+Trending+Content&utm_content=5aafea3904d301764dded32b&utm_medium=trueAnthem&utm_source=twitter
4,Dow drops 400 points as Facebook plunges,0,0,http://money.cnn.com/2018/03/19/news/companies/stock-market-dow-jones-facebook/index.html
5,Polish priest wishes Pope early death over call for Catholics to take in Muslim refugees,0,0,https://www.telegraph.co.uk/news/2018/03/19/polish-priest-wishes-pope-early-death-call-catholics-take-muslim
6,U.S. loses bid to halt children's climate change lawsuit,0.9,-0.2,https://www.reuters.com/article/uk-usa-climatechange-lawsuit/u-s-loses-bid-to-halt-childrens-climate-change-lawsuit-idUSKCN1GJ2UO
7,"Florida mayor calls African American pastor and city Councilman ""You black piece of sh**""",0.8,-0.8,http://tamaractalk.com/tamarac-mayor-calls-commissioner-you-black-piece-of-sh-19524
8,He told cops 'I'm a f--king judge' after failed sobriety test. And he beat DWI rap.,0.4,0.2,http://www.nj.com/politics/index.ssf/2018/03/video_shows_judge_cursing_at_nj_troopers_during_dw.html
9,"Mark Zuckerberg has sold $357 million of stock this month [Feb], part of plans to unload up to $12 billion",0.4,-0.4,https://www.cnbc.com/2018/02/26/mark-zuckerberg-has-sold-357-million-in-facebook-shares-in-february.html
10,"A 12-year-old started playing with a dog. A deputy punched her in the face, Texas cops say",0.2,0.1,http://www.miamiherald.com/news/nation-world/national/article205831069.html
11,Uber Is Pausing Autonomous Car Tests in All Cities After Fatality,0.3,0.3,https://www.bloomberg.com/news/articles/2018-03-19/uber-is-pausing-autonomous-car-tests-in-all-cities-after-fatality?utm_content=politics&utm_medium=social&utm_campaign=socialflow-organic&cmpid%3D=socialflow-twitter-politics&utm_source=twitter
12,Supreme Court keeps revised Pa. congressional map in place,0.4,0,https://apnews.com/a8203939e68b48108a733195017179d4/Supreme-Court-keeps-revised-Pa.-congressional-map-in-place?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP
13,Iowa high school class beats 1-in-177 million odds: All alive six decades after graduation.,0.6,0.6,https://www.desmoinesregister.com/story/life/2018/03/05/iowa-high-school-class-beats-long-odds-all-survive-six-decades/381755002/?hootPostID=967a0d4548915d1acec6bef94c5ddf9f
14,Facebook Security Chief Said to Leave After Clashes Over Disinformation,0.4,-0.4,https://www.nytimes.com/2018/03/19/technology/facebook-alex-stamos.html?action=Click&contentCollection=BreakingNews&contentID=66699598&pgtype=Homepage
15,Bill banning abortion outright introduced in Ohio House,0.7,-0.7,http://www.cleveland.com/metro/index.ssf/2018/03/bill_banning_abortion_introduc.html#incart_target2box_default_%23incart_target2box_targeted_
16,U.S. Supreme Court rejects Arizona challenge to 'Dreamers' program,0.8,-0.1,https://www.reuters.com/article/us-usa-court-arizona/u-s-supreme-court-rejects-arizona-challenge-to-dreamers-program-idUSKBN1GV1QD
17,Facebook's value plunges $37 billion on data controversy,0.2,-0.2,http://money.cnn.com/2018/03/19/news/companies/zuckerberg-net-worth/index.html?sr=twCNN031918companies0452PMStory
18,Woman uses baseball bat to fight off naked intruder,0.4,0.4,http://www.kmov.com/story/37753318/woman-uses-baseball-bat-to-fight-off-naked-intruder
19,Uproar after New Jersey high school allegedly suspends students over gun-range photo,0.7,-0.7,http://www.foxnews.com/us/2018/03/18/uproar-after-new-jersey-high-school-allegedly-suspends-students-over-gun-range-photo.html
20,More than 100 people detained in Arkansas cockfighting raid,0.1,0.1,http://www.klfy.com/top-stories/more-than-100-people-detained-in-arkansas-cockfighting-raid/1058708424
21,Malaysian flag mistaken for ISIS symbol at Kansas lake leads to discrimination suit,0.7,-0.7,http://www.kansascity.com/news/local/article205835199.html
22,9/11 hero who saved hundreds dies of cancer at age 45,0.2,-0.2,https://www.cnn.com/2018/03/18/us/ny-firefighter-911-death/index.html
23,Russia accused of building 'haystack of lies' over nerve agent attack on Sergei Skripal as Nato and EU back UK Independent chemical weapons inspectors arrive to start tests on substance used against former Russian spy,0.8,-0.8,https://www.independent.co.uk/news/uk/crime/russia-nerve-agent-sergei-skripal-haystack-lies-boris-johnson-police-novichoks-opcw-latest-a8264146.html
24,Claires files for bankruptcy,0.3,0.3,http://money.cnn.com/2018/03/19/news/companies/claires-bankrupt/index.html?sr=fbCNN031918companies0924AMStoryLink
25,Disney to ask Toronto court to seal documents in Harvey Weinstein sex assault lawsuit,0.7,-0.7,https://www.thestar.com/news/gta/2018/03/18/disney-to-ask-toronto-court-to-seal-documents-in-harvey-weinstein-sex-assault-lawsuit.html
26,Two explosions reported in southwest Austin,0,0,http://www.kxan.com/news/local/austin/two-explosions-reported-in-southwest-austin/1056692545?utm_medium=social&utm_source=twitter_KXAN_News
27,"Facebook under Pressure as U.S., EU Urge Probes of Data Practices",0,0,https://www.reuters.com/article/us-facebook-cambridge-analytica/facebook-under-pressure-as-u-s-eu-urge-probes-of-data-practices-idUSKBN1GV1V6
28,"1st NHL player of colour, Larry Kwong, dies at 94: Chinese-Canadian right wing, top player in the minor leagues, played single shift in the NHL",0.6,0.6,http://www.cbc.ca/news/canada/calgary/larry-kwong-calgary-nhl-1.4582793
29,"Kim Jong-un has committed to denuclearisation, says South Korea",0.5,0.5,https://www.theguardian.com/world/2018/mar/19/kim-jong-un-has-committed-to-denuclearisation-says-south-korea
30,Mississippi imposing nation's toughest 15-week abortion ban,0.2,-0.2,https://apnews.com/00f3d0ee7d284278ac7141f6d80f0d82
31,Duterte announces Philippines' 'immediate' withdrawal from ICC,0,0,https://www.aljazeera.com/news/2018/03/duterte-announces-philippines-withdrawal-icc-180314090120618.html
32,Pilot blamed by Russia for MH17 crash 'kills himself',0.8,-0.8,http://www.bbc.com/news/world-europe-43457694
