ID,Title,magnitude,score,URL
1,Shkreli Looked Forward to Psych Test. It Didn't Go Well,0.5,0,http://www.newser.com/story/256758/shkreli-thought-hed-ace-psych-test-not-so-much.html
2,Trump Loved Hacks. But Now They're Hitting His People ‰ÛÓ And Anyone Could Be Next.,0.4,0.1,http://www.huffingtonpost.ca/entry/trump-hacks-elliott-broidy-clinton-otaiba_us_5aac131fe4b0337adf83a4aa
3,"Suspect in Austin explosions a 'serial bomber,' authorities say",0.1,0.1,http://abc7.com/news/suspect-in-austin-explosions-a-serial-bomber-authorities-say-/3232367/
4,White House acknowledges the U.S. is at war in seven countries,0.1,0.1,https://news.vice.com/en_us/article/a3ywd5/white-house-acknowledges-the-us-is-at-war-in-seven-countries
5,"Mississippi ""best state for an unborn child""...right.",0.6,0.6,http://www.bbc.co.uk/news/world-us-canada-43465234
6,Uber's self-driving car killed a pedestrian in Arizona ‰ÛÓ company is now halting self-driving car tests,0.5,-0.5,https://www.cnbc.com/2018/03/19/uber-self-driving-car-fatality-halts-testing-in-all-cities-report-says.html
7,'Bullethead' cop known for bursting into homes sued 23 times,0.9,-0.9,http://www.nydailynews.com/new-york/nypd-bullethead-detective-sued-23-times-costing-city-280g-article-1.3881366
8,Austin neighborhood told to stay at home after blast hurts 2,0.2,-0.2,https://www.nbcnews.com/news/us-news/deadly-austin-bombings-were-meant-send-message-police-chief-says-n857786
9,Public support for gun restrictions has grown to the highest level in 25 years,0.2,0.2,https://www.washingtonpost.com/news/the-fix/wp/2018/03/14/public-support-for-gun-restrictions-has-grown-to-the-highest-level-in-25-years/?utm_term=.8486a042538e
10,AP FACT CHECK: Trump wrong on Russia collusion question,0,0,https://wtop.com/news/2018/03/ap-fact-check-trump-wrong-on-russia-collusion-question-2/
11,GOP pushes for 'phase two' of tax cuts,0.1,-0.1,http://thehill.com/policy/finance/378861-gop-pushes-for-phase-two-of-tax-cuts?rnd=1521365805
12,"Continuing A Twitter Rant, Trump Attacks McCabe, Mueller And Comey",0.5,0.5,https://talkingpointsmemo.com/livewire/in-even-more-tweets-trump-rants-about-mccabe-mueller-and-comey
13,"Bitch Slap the Queen day at bar in Richmond, Ky.",0,0,https://www.facebook.com/madisongardenbarandgrill/posts/1803072109736813
14,The Roots Cancel SXSW Concert After Bomb Threat; Suspect Arrested,0.4,-0.4,http://deadline.com/2018/03/the-roots-cancel-sxsw-concert-after-bomb-threat-austin-questlove-1202340010/
15,The War on the Post Office,0,0,https://www.commondreams.org/views/2018/03/18/war-post-office
16,Trump-linked data firm met with Russian executives: report,0,0,http://thehill.com/homenews/administration/378970-trump-linked-data-firm-met-with-russian-executives
17,"'Trump Must Be Desperate': President's Lawyers File to Move Stormy Daniels Suit to Federal Court, Out of Public View",0.2,0.2,https://www.commondreams.org/news/2018/03/17/trump-must-be-desperate-presidents-lawyers-file-move-stormy-daniels-suit-federal
18,How Trump Consultants Exploited the Facebook Data of Millions,0.2,-0.2,https://www.nytimes.com/2018/03/17/us/politics/cambridge-analytica-trump-campaign.html
19,"Retired four-star Army general: Trump ""serious threat to US national security"" who is ""is refusing to protect vital US interests from active Russian attacks"" and is ""under the sway of [Vladimir] Putin.""",0.8,-0.8,http://thehill.com/blogs/blog-briefing-room/news/378884-retired-four-star-army-general-trump-serious-threat-to-us
20,Watch this video of tonight's excellent Rachel Maddow show about how Trump's decisions to fire both Rex Tillerson and Gen. McMaster both came hours after their strong statements against Russia.,1.3,0.3,http://www.msnbc.com/rachel-maddow-show
21,"Trump, Kelly and White House lie about Rex Tillerson firing, falsely claiming that Tillerson was told days in advance.",0.9,-0.9,https://www.theatlantic.com/international/archive/2018/03/rex-tillerson-firing-timeline/555464/
22,Trump fires State Department official who contradicted his account of firing Rex Tillerson,0.2,0.2,http://www.independent.co.uk/news/world/americas/steve-goldstein-fired-trump-rex-tillerson-us-state-department-white-house-a8254151.html
23,Former Playboy Model Details Affair With Trump and Paid Cover-Up in New Yorker Story,0.1,-0.1,https://slate.com/news-and-politics/2018/02/former-playboy-model-karen-mcdougal-describes-affair-with-trump-in-a-new-yorker-story.html
24,Black man beaten in Charlottesville found not guilty of assaulting white supremacist,0,0,https://www.washingtonpost.com/local/black-man-beaten-in-charlottesville-found-not-guilty-of-assaulting-white-supremacist/2018/03/16/92160a88-288f-11e8-b79d-f3d931db7f68_story.html?utm_term=.51690814f69b&wpisrc=al_news__alert-local--alert-national&wpmk=1
25,"Andrew McCabe, Trump‰Ûªs foil at the FBI, is fired hours before he could retire",0.1,-0.1,https://www.washingtonpost.com/world/national-security/fbis-andrew-mccabe-is-fired-a-little-more-than-24-hours-before-he-could-retire/2018/03/16/e055a22a-2895-11e8-bc72-077aa4dab9ef_story.html
26,UMBC Retrievers Fetch UVA Cavaliers In The Greatest Upset In NCAA Tournament History!,0.1,-0.1,https://71republic.com/2018/03/16/umbc-retrievers-fetch-cavaliers-first-16-seed-in-ncaa-history-to-beat-a-number-one-seed/
27,James Mattis is linked to a massive corporate fraud and nobody wants to talk about it,0.9,-0.9,https://www.vox.com/2018/3/16/17124288/mattis-theranos-board-trump
28,Stormy Daniels' lawyer says some alleged incidents took place during Trump presidency,0,0,https://www.cnn.com/2018/03/16/politics/stormy-daniels-trump-allegations-cnntv/index.html
29,Alleged mobster Felix Sater ‰Û÷told family he knows he and POTUS are going to prison‰Ûª,0.8,-0.8,https://www.rawstory.com/2018/03/alleged-mobster-felix-sater-told-family-he-knows-he-and-potus-are-going-to-prison/
30,Stormy Daniels‰Ûª lawyer says six other women have come forward with similar hush money agreements,0.2,-0.2,https://thinkprogress.org/stormy-daniels-six-other-women-7183491b382a/
31,Interstate 80 reopens after closing for several hours to to heavy snow,0.3,-0.3,https://www.mercurynews.com/2018/03/16/snow-in-sierra-nevada-results-in-closure-of-interstate-80/
32,U.S. military copter crashes with 7 troops on board,0.7,-0.1,https://www.cbsnews.com/news/united-states-military-aircraft-crashes-iraq-today-2018-03-13/
33,Gymnastics coach who fled US pleads guilty to child porn,0.1,-0.1,https://nypost.com/2018/03/16/gymnastics-coach-who-fled-us-pleads-guilty-to-child-porn/
34,ADL: White supremacists are using banners to get their messages across,0.1,-0.1,https://www.cnn.com/2018/03/15/us/adl-white-supremacist-banners/index.html
35,These Austin residents fear that the explosions may be racially motivated,0.5,0.5,https://www.cnn.com/2018/03/15/us/austin-explosion-packages/index.html
36,School turtle euthanised ‰Û÷after being fed live puppy by Idaho teacher‰Ûª,0,0,http://www.scmp.com/news/world/united-states-canada/article/2137605/school-turtle-was-fed-live-puppy-us-biology-teacher
37,Putin's Past Explains Russia's Future,0.3,0.3,https://www.foreignaffairs.com/articles/russian-federation/2018-03-16/putins-past-explains-russias-future?cid=nlc-fa_fatoday-20180316
38,"'No, it can't be!' Witnesses describe horror of Florida bridge collapse",1,-0.5,https://www.nbcnews.com/news/us-news/no-it-can-t-be-witnesses-describe-horror-florida-bridge-n857076
39,"‰Û÷There Will Always Be Change,‰Ûª Trump Says as More Personnel Shake-Ups Loom",0.1,0.1,https://www.nytimes.com/2018/03/15/us/politics/trump-white-house-turnover.html
40,"Co-pilot sues Alaska Airlines over alleged drugging, rape by flight captain during layover",0.8,-0.8,https://www.adn.com/nation-world/2018/03/14/co-pilot-sues-alaska-airlines-over-alleged-drugging-rape-by-flight-captain-during-layover/
41,Trump Organization 'negotiated with sanctioned Russian bank in 2016',0,0,https://www.theguardian.com/us-news/2018/mar/15/trump-organization-negotiated-with-sanctioned-russian-bank-in-2016
42,Multiple people killed in pedestrian bridge collapse at university in Miami,0.5,-0.5,https://www.cnn.com/2018/03/15/us/miami-bridge-collapse/index.html
43,Trump wants Boeing to build stealth F-18s for a 'good price' ‰ÛÓ but they don't exist,0.5,-0.5,https://www.cnbc.com/2018/03/14/trump-wants-boeing-to-build-stealth-f-18s-for-a-good-price-but-they-dont-exist.html
44,"Sister of Charleston shooter Dylann Roof arrested on weapons, drug charges",0.2,-0.2,https://www.nbcnews.com/storyline/charleston-church-shooting/sister-charleston-shooter-dylann-roof-arrested-weapons-drug-charges-n856851
45,Larry Kudlow is a big upgrade for the White House,0.3,0.3,https://www.realclearpolitics.com/articles/2018/03/16/larry_kudlow_is_a_big_upgrade_for_the_white_house_136551.html
46,Miami bridge collapse: A scene of horror unfolds in the city,0.3,0.3,https://www.usatoday.com/story/news/nation/2018/03/15/oh-my-god-bridge-isnt-there-scene-horror-unfolds-miami/429825002/
47,WATCH: Students storm Capitol lawn calling for gun reform.,0,0,http://thehill.com/video/in-the-news/378521-watch-students-storm-capitol-lawn-calling-for-gun-reform
48,Nitrogen gas good enough for death row prisoners. What about the terminally ill who want it?,0,0,http://www.bbc.com/news/world-us-canada-43408883
49,Toys R Us is reportedly shutting down its US stores,0.5,-0.5,https://www.theverge.com/2018/3/14/17121918/toys-r-us-closing-selling-stores-bankrupt-liquidate-holiday-sales-poor?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter
50,Is Donald Trump a Traitor?,0,0,https://theintercept.com/2018/02/16/trump-russia-election-hacking-investigation/
